,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
2011,INPPL1,ZNF185,RNF2,RP11-197P3.4,EIF3J,INPPL1,TANGO2,RNF4
2012,ACTN1,TMEM80,SLC35C1,TRIQK,EXOC7,PCTP,CAMK1,SOS1
2013,RAB5A,HMBOX1,MED11,GABARAPL1,CKMT2-AS1,KIAA1191,NASP,NUTF2
2014,MARK3,RP11-83A24.2,SETD5,ESPN,SFPQ,RANBP2,KCNQ1,CLEC4A
2015,PNPLA2,ZNF525,HRASLS2,HSDL1,WBP1L,BRCC3,SIPA1,PNP
2016,NSRP1,CAMP,KPNA1,ORC3,ZNF92,EP400NL,SCRN3,ZFYVE21
2017,NT5C3A,TNRC6C,JAK1,POLR2D,GNL3,WDR77,CLK4,MIS18A
2018,COX5A,CDADC1,LINC00998,NUBP1,RFXANK,USP5,SECISBP2,PDCD6IP
2019,PGAP2,SLC25A11,SPOP,UBASH3A,LY6E,BAZ1B,RANBP9,LIG3
2020,FYTTD1,PATL1,SH3BGRL,AGAP6,RIPK2,MRGBP,LRRK1,UFD1L
2021,BNIP3,TAF9,UNC50,AKIRIN1,ZNHIT2,ELP3,ANKLE2,TMEM55B
2022,WDR91,C11orf48,CHAC2,EMC6,CYBB,DCP1A,ETV3,OAS3
2023,METTL25,FAM204A,ZNF718,PORCN,ARL8A,LYRM9,COMTD1,TMEM176B
2024,PRKCI,PINX1,ASCC1,ZNF501,DRG2,MUL1,STX11,TNIP2
2025,GALNT3,RPAP3,SCRN3,PRKCZ,SLC17A5,RAB1A,C2CD3,UGP2
2026,HMOX1,CEP57,HLA-DOA,COX11,TM7SF3,PSMD2,SCAMP2,RNF2
2027,TMSB15B,COX10,PIP5K1C,ALKBH2,RP5-827C21.4,MTL5,DIP2A,U2AF2
2028,WDR33,TPR,NEK7,CTD-2260A17.2,GPR65,ZDHHC12,MTA1,PTP4A3
2029,NEK7,SLAIN2,EP400,ARHGEF2,ACSL6,QRICH1,CHCHD5,DAZAP1
2030,ST3GAL5,PACS2,DNAJC2,PHKG2,IVNS1ABP,IFIT1,SEPHS1,SFI1
2031,FAM89B,NDUFA3,KMT2E-AS1,INIP,STRADA,AP3S1,RUVBL1,VAPB
2032,GPS2,PLP2,ST6GALNAC4,PPP1R14B,RUSC1,METAP2,CLCN3,LTBR
2033,STK32C,CENPW,PDAP1,C14orf159,LARP7,MIB2,RSL24D1,STAT5A
2034,ZCWPW1,TOPORS,TCF12,RP11-398K22.12,SCCPDH,GBP5,SPATA20,ITGAL
2035,FAM115C,PIK3CG,SSPN,KLHL22,TOMM7,NUDT22,BCL6,DNAJB12
2036,ARV1,LIN7C,PRR5,MRPL52,TMEM117,NMNAT1,UBE2B,DDT
2037,COG1,ATL3,FAM122C,XYLT2,SYVN1,HSPA9,ZNF100,NDUFAF4
2038,HMGB1,TCTA,MTIF2,AC131056.3,SP4,UBR2,RP11-345J4.5,RRAGC
2039,NIPSNAP1,PCNA,ID3,NSUN4,SUPT20H,SLC25A22,VIPR1,LINC-PINT
2040,RBM5,RP11-274B18.2,WDR77,ZBTB44,SLC5A6,DOT1L,GSS,ADCK3
2041,CD300E,ZNRF1,PI4KB,YIPF2,TASP1,NBPF10,NME2,DUSP6
2042,ORAI3,SH3BP5L,RAB3GAP1,SRSF5,SGCB,AC008964.1,OCEL1,CDS2
2043,TLR1,GUF1,RP11-66N24.4,NECAB3,SDSL,UQCRQ,TTC1,ANKRD28
2044,NUB1,DPYD,SCARB2,WTAP,FAM43A,NAA38,UBE2V2,NDUFS1
2045,ZNF264,PPARD,LY9,C9orf85,PLCB2,ZNF460,RP6-91H8.3,IFI16
2046,U2SURP,CDKAL1,CHRAC1,PPIL2,NDUFAF2,ARL13B,ALG14,URM1
2047,TRPT1,CAMK1D,HIBCH,IRF2BP1,UBA1,MRPL15,ENDOG,PDHA1
2048,CCDC174,CPNE8,DMXL1,U73166.2,MED27,ACSF3,GPR84,RELT
2049,ITGA6,HYPK,LRRC8D,BHLHE40,KARS,SDF2,CIC,KDM2A
2050,KIF20B,NRBP2,ZNF827,TIRAP,GRIK4,ESCO1,MOB3A,MRPL45
2051,GOLGA7,CTPS1,RAB31,CRNKL1,NCOA7,IRF8,MINA,GSAP
2052,CTC-524C5.2,CD52,ZCCHC17,EIF4G1,TPGS2,ANPEP,NSDHL,OGFR
2053,TAF1,ZBTB7B,PLD2,COMMD2,RP11-222K16.2,ZNF524,RPPH1,NIPA2
2054,FABP5,ICA1L,POLR3B,EIF2AK2,SF3B4,MYO19,FHIT,HSD17B12
2055,INTS6,CMC2,HDHD2,SLC35C2,ANTXR2,C1D,PCGF5,C3orf38
2056,HSPH1,TPRKB,KIF22,CBWD5,IRAK2,ARPC5L,SBNO1,RNF217
2057,AKT2,FLAD1,TMEM175,DARS2,FUNDC1,KIAA0319L,ATF6B,UBE2C
2058,CCND2,CLYBL,MTMR2,OGFOD1,DTHD1,TDRD3,RFC1,RPS6KA1
2059,ZNF771,MOSPD3,TAF4B,GRINA,BEX4,RFTN1,FKBP5,PRCC
2060,SLC38A5,SMC1A,FASTKD2,MVK,RAPGEF6,ENSA,OGFOD2,NFE2L2
2061,ZNF737,BTF3L4,COG3,TMEM185B,RP11-97C16.1,SEC24D,BAZ1B,PTPN4
2062,AIG1,DTD1,MSL1,NME7,ZNF317,PI4KB,CAMSAP1,MGRN1
2063,C20orf112,INO80E,UBA3,NUPL1,PUS7L,YPEL2,RPP38,NLRP1
2064,SLC29A2,MTERFD2,TMEM182,IMMP2L,CPEB3,NEXN,HDAC2,PGS1
2065,RP11-640M9.1,IQGAP1,USP34,MYCBPAP,ZDHHC6,CNTLN,BLCAP,MAP1S
2066,ADNP,LINC01135,SRP72,AL645728.1,CHIC2,EMC9,DERL2,HDLBP
2067,CDKN2D,CNTD1,ZKSCAN1,SIDT1-AS1,EPS15,TMEM255B,TAOK2,ORMDL3
2068,TRAPPC3,RBM26,PPP1CA,SMIM13,CMPK2,GLIPR1,CIB2,TBC1D7
2069,TNPO3,ASB7,NOC2L,PDIK1L,BCL10,NDUFV1,ATP6AP1L,VPS13C
2070,ZNF609,OAF,PPP5C,ERAP2,SEC24B,RP11-849F2.8,DECR2,ANKRD11
2071,ADIPOR2,TMC6,ITFG2,APOBEC3H,STXBP3,PFKFB3,CRYM,AGTRAP
2072,SH2D3C,AGGF1,TP53TG1,KIAA1919,ANP32E,TMEM183A,G6PC3,KPNA4
2073,MAZ,MPZL1,SUPT7L,ZFP1,DPH5,PREP,RP1-244F24.1,LIG1
2074,PIK3CG,FAM111A,DENND5B,LRRC57,EXOSC7,ABCD4,CLECL1,C1orf122
2075,LARS,PDE6G,CNN2,MPHOSPH9,PLXND1,CCNC,HESX1,SPPL2A
2076,IL23A,TMEM160,THG1L,BCS1L,PIK3R4,PQLC2,DACT1,USP14
2077,TRAF3,CCNY,NCAPD2,MAPKAPK2,ING5,MPPE1,CCDC62,TROVE2
2078,PIBF1,GTF2H2,GNG3,KIAA0232,MIS12,RFWD3,RTN4,CYB5A
2079,PSMC4,CYP27A1,SMIM20,STAU2,GTF2F2,SETD3,RP11-73K9.2,PBDC1
2080,VPS39,TSC1,ARID2,MORC3,ASF1A,SKIV2L,NME8,CUTC
2081,FAM118A,MARK4,ZNF135,CDK7,TIMM8B,TRAF5,RP11-14N7.2,LASP1
2082,LONP1,PRKAA1,MYLPF,FCRL6,CHAC2,TCF3,PRPF6,SLC31A2
2083,TIAM1,ADTRP,CTD-2228K2.5,ABHD2,NDUFA6,NAP1L4,RP11-1000B6.3,TMEM204
2084,HDAC5,GFOD2,SIRT6,ATG13,GNB2,CHST14,CNOT1,CMC1
2085,DCAKD,RP9,STAG3,FAM3A,ZNF268,NRF1,PSPN,MVP
2086,CHD1,POGZ,NUDT18,TMOD3,ANKRD37,RECQL,PMEPA1,RAB18
2087,SLC8B1,ZNF493,MPND,DERL2,PIK3R5,HIST1H2BC,FICD,AUP1
2088,RFXAP,ILF3,VTI1B,NSMF,ERAP1,POLR2M,TXLNA,OSGEP
2089,LYPD2,FUT11,LINC00657,ZNF623,RAE1,MRAS,FAM179B,ELF1
2090,RABEPK,KHK,ZHX1,MTMR12,FARSB,PRR12,PDE6D,PLEKHF2
2091,CTD-2162K18.5,C7orf60,CD27,EXOC8,KLHDC3,CLCN6,ACER3,TRUB2
2092,PRDX1,MAP2K5,TSEN2,SMAD3,ZNF641,RNF144B,SLC22A18,CAND1
2093,PITRM1,MSMO1,SENP2,PTTG1IP,TMEM179B,C12orf39,HEATR2,TRAP1
2094,TBRG1,LEPROTL1,CCDC66,ATPAF1,GPS1,GSR,S100A5,NDUFS4
2095,UBE2M,RNF144B,NMD3,DESI2,ZMYND8,S100B,TTC24,RNF135
2096,CDC14B,TGM2,TMEM41A,DENND6A,CD55,SLC41A1,RP11-532F6.3,ITGAX
2097,CD36,CISD1,ZFYVE27,SPCS3,SLC25A35,AGPAT4,SP140L,CD46
2098,ZHX2,TXNDC15,CCR6,RABEP1,MAEA,CD38,RFXANK,HCFC1R1
2099,ALYREF,CDK11A,ZNF318,PEX1,IRAK1,CPSF2,NRP2,GCC2
2100,XRCC6,MEF2BNB,ATG4C,RP11-538P18.2,METRNL,TMX3,PITRM1,CAMK4
2101,RP11-386I14.4,SLC9B2,NIPAL2,ILVBL,CHP1,AAR2,NOP56,RNPEPL1
2102,AK5,MED1,ACD,ZNF121,TMEM186,TCF7L2,FIZ1,FAM127B
2103,SERTAD2,MBOAT1,PLEKHJ1,ZNF671,BACH2,LIMS2,P2RX4,SLC30A5
2104,PXK,NLRP12,TBCD,NRL,ERGIC2,TATDN2,GSTM2,ARAP1
2105,TCEA3,SELO,MYOM2,MAFK,TUBD1,PPP1R12C,DOCK2,STX16
2106,LPCAT3,TBRG4,NUP160,CROT,CREBZF,RP11-98I9.4,CCDC71,CRTAP
2107,EMD,CDK8,ABHD5,TGIF1,HIPK2,NBAS,ZSCAN9,ZNFX1
2108,SHARPIN,B4GALT4,TIPARP,THOC1,ZKSCAN5,FGD6,ABHD16A,CHD1L
2109,HELB,DNAH1,HMGA1,ECE1,C12orf4,ZNF691,ZNF74,ORC4
2110,SLC25A46,UBXN2A,MSL3,LMBRD2,EIF2AK2,RP2,ABI1,CMC2
2111,VARS,MAP6D1,ZRANB1,TAPT1-AS1,ALKBH5,SPECC1,N4BP2L1,CBWD2
2112,TAF4B,CHSY1,EIF4H,BBS10,CNP,PRPF6,POLR2J3,C11orf83
2113,TADA2A,MPP7,MED13,FAM135A,NCLN,ARSB,AD000090.2,IGF2BP3
2114,PLEKHB2,FLJ27365,MRPL38,RAD51AP1,PPIL1,RP11-427H3.3,USP33,ATP13A4
2115,MCTP2,VARS,NONO,CIZ1,SCO1,RNFT1,SPRED1,TBCA
2116,AC132872.2,MDFIC,RAB14,GAMT,ALDH3A2,GPR75-ASB3,ATP6V1D,BEND2
2117,LRRC28,RBMXL1,LRRC58,UNG,STAP1,UBN2,WDR18,PAFAH1B1
2118,TOLLIP-AS1,NUDT3,TNPO2,RNF20,MAP3K5,HPS1,NUP133,LAMP5
2119,CLASP1,PARP12,ARMC6,MBD5,SDHC,TRPC4AP,PACSIN1,BRWD1
2120,SLC25A17,SEC63,PTPRO,TPCN2,FAM102B,DAPP1,ARL8B,NFKBIB
2121,AC006129.2,GOSR1,C7orf31,FAH,FARS2,PIGV,KATNA1,BLVRB
2122,PRKAB2,PIGG,LRRK2,NUDT18,EPS8L1,ZNF707,SLK,MRPL17
2123,ITFG2,NDOR1,FAM122A,ZNF71,ZNF207,FAM110B,SNORD3B-2,INPP5A
2124,LYPLAL1,USP13,DDX19B,YWHAE,NGLY1,RAB11FIP2,ASCC3,MBOAT2
2125,MED27,ZNF131,ANGEL2,CRBN,PRKCD,NCOA2,NPIPB11,RP11-159D12.2
2126,TWISTNB,ING3,OPA3,STK11,C7orf73,C14orf1,PASK,PRTFDC1
2127,ZCCHC17,C1orf131,C1orf122,TRIM22,IDNK,ATOX1,KIAA0141,CLIP2
2128,PPP4R1,TMEM175,ZNF644,CCNA2,PEX14,GPBP1,NDUFB4,STX4
2129,EZR,TMEM106A,LACTB2,SLC2A1,IDI1,PAN3,ZNF672,IRS1
2130,PSAP,EIF4E,PLCG2,DNAL4,RDX,METTL22,CTB-55O6.12,CCDC91
2131,SLC16A3,SNX4,TUBB2A,LRRC14,CDON,RHOH,LTC4S,HBQ1
2132,CCNT1,MAML2,DIMT1,GTF2B,RP11-106M3.3,SDCCAG8,MAPKAP1,DPEP2
2133,NFXL1,SIK2,IMMT,GLTSCR1L,POLR2J3,GALK1,POLR2H,LEPR
2134,ALS2,ZP3,SLC25A17,CDK20,GBP4,CD151,CYFIP1,PPP1R26
2135,GPAT2,AGPAT6,COMMD6,RP11-138I1.4,R3HDM2,TRMT13,SRP14-AS1,CPAMD8
2136,SIVA1,THUMPD3,ACP2,RP11-500C11.3,PRPF6,TMEM101,HNRNPA1L2,MIDN
2137,ENDOV,CTC-524C5.2,HUWE1,EPB41,PPM1M,LNPEP,ABCF3,SF3B14
2138,PQLC3,SIGLEC9,C19orf48,VGLL4,H2AFV,AAED1,DPYSL2,CLDND1
2139,FAM98B,TXNRD1,ZMIZ1,DBN1,A1BG,HRAS,TRNAU1AP,BLOC1S1
2140,RUNX1,COPA,SLC35E3,HNRNPDL,ARMC8,FBXO34,CTDSPL2,PIBF1
2141,PEX11G,RPRD1A,DAK,AGER,DENND3,RPUSD3,CCDC25,PRR14
2142,C16orf62,RP11-63P12.6,FAM120AOS,EIF3K,MCAT,ARAP3,C10orf76,RP11-712B9.2
2143,FAAH,TNFRSF14,BUD31,AKR1B1,C8orf76,COMMD9,CAPN15,SMIM1
2144,ELMOD3,RBFA,UBTF,C8orf76,ZNF211,OSER1,AEBP1,PDK2
2145,TFEB,MRPS22,MLH1,DYNLT3,CAMK4,TRIP4,LHFPL2,STX12
2146,TMEM168,HSPA14,UBE2W,PHYH,MMP23B,TIMM23,SLC25A19,EPN1
2147,MTF2,ANKDD1A,FAM153A,SUSD4,CDK5RAP3,ASNA1,MAP3K5,MARK4
2148,SOS1,PRRT2,PPME1,PGRMC2,DNAJB6,DDB1,SAP18,PHF2
2149,GDF11,THAP7-AS1,PTP4A3,MMGT1,CEBPG,ARHGAP31,COQ3,DAG1
2150,ZFP36L1,STRADA,KNOP1,PFKP,LRRC8A,SNHG9,ARCN1,TMEM199
2151,CAPNS1,CSTF1,EBAG9,CD226,APEX1,CDKL3,SIRT3,NCL
2152,DNAJC10,C15orf57,FRYL,SLC25A42,SPATA20,RAB20,CCDC106,ZSWIM7
2153,SCAMP1,THAP2,RETN,DDX43,UBE3B,GNG10,KIF16B,DBN1
2154,FNDC3A,ARFGAP2,CDK12,HIST1H2BD,RPP14,AFF3,DLGAP4,ACO2
2155,C6orf57,TANC2,PLIN3,PRKCH,TMEM183A,UBALD1,EIF3D,COQ9
2156,C9orf41,C14orf142,MICAL1,ATG10,SLC35E3,SCGB3A1,LRMP,RP11-218M22.1
2157,GSKIP,MBP,KPNA4,SLC35F2,SP2,SKAP2,KB-431C1.4,FGD5-AS1
2158,RYK,SLC35A3,KLHL5,UBL7-AS1,TUBG1,DEF6,SNRPG,COA5
2159,PLA2G15,SMG6,ME2,TTC33,ISCA1,TBCA,ZBTB41,EPRS
2160,IL10RB,ZBTB1,MAPK1IP1L,RBM19,LGALS8,IKZF5,DSN1,RFX3
2161,SYTL2,TRIM11,TXNL1,CYSTM1,CHFR,LINC01003,TRIM56,SIRT3
2162,TRIM35,LRPPRC,NCOA2,ASB6,SFR1,EZR,MINOS1,TCF19
2163,EGFL7,SARNP,ARHGAP1,RAB39B,MVD,PPP1R12A,UTP15,SLC38A6
2164,HMGCS1,PTER,PRKRA,BRE,DNASE1L1,SGPL1,TIAL1,CHURC1
2165,UNC13D,LRRC8D,IMMP2L,CABIN1,H2AFY,PCSK7,NUMA1,LILRB2
2166,TMEM256,PIP4K2A,KIAA2013,GBA2,SSRP1,THOC7,DBN1,PET117
2167,PPIL1,GEMIN7,NSUN3,WDR92,CSGALNACT2,CTC1,GANAB,NRIP1
2168,XRCC4,LTBR,SLC25A45,PLCG1,TOB1,OTUD7A,ACSS2,TRAF7
2169,TTC9C,NEK8,TRA2B,SSBP2,LGALS9,EID3,TBC1D31,ISCA2
2170,IFI27L1,PTBP3,LIPT1,N6AMT2,CCDC43,NDFIP1,PROCR,ZG16B
2171,PMM1,CNOT11,PMF1,ABCB10,ATP13A2,KLHDC2,GSTK1,PCED1A
2172,WDR11,TCEANC2,ZNF106,ZNF500,SLFN13,CLCN5,TSR1,SCYL2
2173,ZNF775,TSPAN31,TIMM9,EAF1-AS1,LSM5,CXCL9,XPR1,AASDHPPT
2174,DLEU1,RP11-1399P15.1,C1orf131,MOSPD1,EXOSC4,RP5-1057J7.6,DET1,SLC25A26
2175,MAP3K1,EIF2AK2,RALGAPA1,ETV6,MKNK2,TOMM20,GTF2A2,PNPLA6
2176,TANGO6,CYSLTR1,RITA1,RNF113A,RABL6,COX17,TCEA3,PDHX
2177,ZDHHC18,C16orf13,UBR5,PTPLAD1,SLC12A2,NUDT4,PAFAH1B1,RP11-220I1.1
2178,KB-1208A12.3,RPL14,RP4-798A10.4,BDH1,MPC2,EFCAB4A,CDR2,GPD1L
2179,QSOX1,HSD17B14,NAALADL1,RP11-152N13.5,ACP2,SCARB1,GMDS,LPCAT1
2180,NFATC2,MRPS23,DPP8,AP1S2,MOSPD1,ATAD3A,NAIP,MTHFD2L
2181,AC002467.7,GSTM2,CTA-384D8.34,CLIP1,TRPT1,MTHFR,ZNF600,PGD
2182,NAGK,GBA2,HERC6,DDX60L,KIAA0100,TPRG1-AS1,NBPF12,GYG1
2183,GOLGA1,MAP2K6,ARAP1,ZNF527,USP42,RASA1,RUSC1,SEMA4D
2184,CD151,BCL11A,TAPSAR1,ELK4,LDHA,IQCH-AS1,FNTA,TMEM104
2185,ZNF618,RP11-468E2.5,STAG2,ATP11B,ZMYM2,EFNA3,SMNDC1,ATP5G3
2186,HPS5,CHCHD3,GCAT,HGS,MDN1,IMPA2,CCZ1,FBXL8
2187,FAM120A,HSPA6,C7orf60,LAPTM5,MDFIC,CCT8,PER1,EMP3
2188,UBQLN2,RP5-1073O3.7,TTYH3,CECR1,MEX3C,CDK13,CCDC152,CCDC92
2189,YLPM1,MFF,ORAI1,PLEKHA7,SUMF2,KLHL8,KDM1B,SCRN3
2190,LPIN2,LETM1,C1QTNF6,SAV1,GAMT,AKT2,METTL1,REXO2
2191,MYO9B,MKL2,FBXO18,SHMT1,SPDYA,ERICH1,AC007880.1,SCAND1
2192,MCM6,COQ10B,SF3B14,PTDSS1,C7orf26,ZNF614,YIPF1,ZDHHC12
2193,PIK3R4,RAB35,MGAT2,CNOT2,SETBP1,NUP160,LNPEP,MPPE1
2194,SLC11A2,ZNF317,WDR70,SMAD7,SIK3,RP11-802E16.3,PPIH,SEPT6
2195,RP11-418J17.1,CTSC,TUBE1,POLR2C,NCR3,DNMT3A,TMEM208,LPAR5
2196,GCHFR,STX6,ETF1,ZSCAN2,JAZF1,CYSLTR2,PPIF,NIPSNAP3A
2197,PDSS2,PIGU,LINC00665,ANKZF1,CDK2AP2,KMT2C,RPLP1,TTF1
2198,TULP4,MCM3,SLC11A1,BANP,GNPAT,GSS,UAP1,EXOSC1
2199,KANSL1-AS1,LCOR,ANKRD52,ENTPD4,HSDL2,ZFP69,RP5-821D11.7,RBM4B
2200,RAD17,CHAMP1,PUS3,PILRA,ROCK1,ECHDC2,ZNF419,SPRYD3
2201,BCCIP,PEX11G,MIR4458HG,SMPD4,TRIM65,PARP3,MGST1,LRRC23
2202,P2RX5-TAX1BP3,PLB1,CEP164,C8orf33,SYNCRIP,PIAS1,KRR1,SNRPB
2203,FAM122B,ARHGAP26,ALKBH3,DNAJB9,CCDC65,CXXC5,ZNF260,MAST4
2204,L3MBTL3,DOCK2,MARCH3,RPGR,ALKBH6,PURB,EHD3,TRAT1
2205,ERGIC2,FZR1,RBAK-RBAKDN,C19orf12,PRPF4B,CWC22,XPO1,TMEM116
2206,C11orf30,CPT1A,TAF15,UBA6,PRKAR1A,RPE,ADAR,WBP11
2207,UCP2,TMEM164,ISG20L2,AGAP2,PDAP1,NMRAL1,FAH,ACTR3B
2208,SLC39A14,LSM14B,RFTN1,CDK5RAP2,CDC42,HELZ,CCDC28A,ZCCHC2
2209,RUFY3,ANG,KIAA0355,SLC37A3,IFT122,SUZ12,RARS,POU2F2
2210,ELF4,BAZ2B,LYPLA2,CDKL3,UBE2L3,ARHGEF2,CPT2,TP53RK
2211,PCNXL2,CCR10,RINL,HAX1,TKTL1,RRM2B,FDXACB1,TSPYL1
2212,RP11-820I16.4,WDR86,TMPRSS11E,SIK3,PEX11B,C9orf66,C5orf30,SCAMP3
2213,OTUD6B,SLC25A43,PPP2R4,MTFR1,ZCCHC7,UROD,KLF8,KPNA1
2214,SLC40A1,PPP4C,LRPPRC,AP003733.1,INO80,MAML1,SMAD5,RNF145
2215,MAN2A2,SATB1,TM7SF3,TRIM28,PAM16,CHIC1,LINC00936,TMEM115
2216,AGA,LINC00657,TMEM50A,ELP2,MCFD2,LYPLAL1,TFPT,CCDC124
2217,CTD-2336O2.1,TRMU,SOWAHD,RP11-302B13.5,BFSP1,KLHDC7B,CSTF2T,TMEM87A
2218,LINC00685,GTF3C3,RPP25L,SLC7A5,ERCC8,BCL2L13,PIP5K1C,SLAIN2
2219,MBTPS1,THOC2,RUVBL1,NIPA2,UBE2S,APOL3,FAM174A,NFIC
2220,BRMS1,MRPS14,ITGA5,GLIPR2,TM2D3,ENTPD1-AS1,PMS1,ATXN10
2221,PECR,hsa-mir-1199,HSPBP1,IGSF8,SWT1,CCDC77,RUVBL2,PCBD2
2222,VCL,FAM71D,FAM110A,STIM2,PRRC1,GNAQ,FAM20C,C11orf24
2223,GTF2E2,CELF2,HDHD3,UBAP2L,RPP21,USP47,MED14,RP11-660L16.2
2224,PISD,HAUS3,PARP2,CIPC,DAXX,ASB6,CCDC132,GPR137
2225,ATG4C,UBTD1,ASXL1,TXNDC17,CREG1,SH3D19,NIT1,PAPOLA
2226,SMARCA2,CHURC1,GSTCD,ZC3H7B,MIS18BP1,NELL2,MAML3,RP1-39G22.7
2227,ZRANB2,FAM185A,DMTN,B3GAT3,MPC1,RECK,SYVN1,ACTN4
2228,AC020571.3,BUD13,PPP1R15A,GNPTG,RP11-644F5.11,ZNF568,PPCDC,EIF3I
2229,SART1,ADAT2,PAAF1,RP5-1007M22.2,AHCY,SRPR,MCUR1,SP4
2230,SAYSD1,TRPM4,TSTD2,NUTM2A-AS1,EIF4EBP2,IL10RB-AS1,ST6GALNAC4,IVNS1ABP
2231,ZNF652,FBXL15,DDIT3,RAB6B,PKNOX1,HSBP1,ERLIN2,LACTB
2232,KIAA0226,ABCF2,ZNF281,RUNX2,MTG2,FAM63B,POFUT1,PRR7
2233,KMT2B,RERE,SFSWAP,UNC119,ERO1LB,PPP1R21,C15orf48,GTF2A2
2234,EXOC2,P2RY8,CUL4A,POLR3F,CFP,ZNF655,FAM46A,ANXA11
2235,C20orf27,FKBP15,GDAP2,ZNF180,NONO,LMBRD1,RABGGTA,AKTIP
2236,ZNFX1,HIC2,BARD1,R3HDM1,AAMP,IGFBP6,EIF4EBP1,KANSL1-AS1
2237,INTS10,SYF2,CDC16,NPEPL1,CANT1,IFIH1,DGCR6L,CNEP1R1
2238,DPH1,C11orf71,CNPY2,TXLNA,SIGLEC7,MITF,SEH1L,KPNB1
2239,C2orf42,KIAA1586,IKBKE,JHDM1D-AS1,HNRNPAB,APOL6,TNNT1,ARHGEF40
2240,ELP5,CCNA2,PDE9A,SPAST,HOXB-AS1,CACUL1,RP3-402G11.25,CIRH1A
2241,ZMYM5,GNAI1,PFN2,RGS9,PTS,ERCC3,C11orf49,ARFGAP2
2242,PBX2,FASTKD3,SRSF11,HYOU1,FTSJ3,MRPL39,PPP3R1,AKR7A2
2243,CTAGE5,GLYCTK,APOO,NPLOC4,KIF1B,NEDD1,P2RY14,SMARCA2
2244,SRSF10-1,FAM45A,VBP1,GMFB,NUP62,PKIB,FBRS,JMJD1C
2245,NAA16,SS18L2,AXIN1,TMEM237,HDHD2,SLC25A38,GNB1L,BRD2
2246,FAM178B,TXNDC11,KCTD5,MAP4K1,PARN,ZBTB38,RASSF3,FAM49A
2247,SOAT1,SIRPB1,PYROXD1,GSTZ1,PARP4,KDM4C,SSFA2,C1orf85
2248,RAD51C,CCNDBP1,NPIPB11,TMEM199,ZMAT3,FCGRT,GPR107,LENG8
2249,HIP1,RBM4B,DIS3,GABPB1,LDB1,PCID2,TMEM187,LAMP1
2250,TIMM8A,TM6SF1,LXN,WDR83OS,MAPK9,MKRN2,ARID2,ATP5J
2251,PSMA6,PLEKHA8,RP11-423O2.5,GARS,TCHP,PRDM1,LMO2,MFSD6
2252,AC005523.2,PGM1,GLUD1,EIF2B3,MSMO1,METTL17,DGKD,ARPP19
2253,RC3H1,DNAJA3,ITFG3,CXCR6,TSPYL1,GTF3C6,ATPAF1,ASRGL1
2254,FBXO42,MIS18BP1,CIITA,RP11-108M9.6,MVK,KB-431C1.4,USP32,FCGR2A
2255,OPA3,CGGBP1,TREML2,MTMR2,ICT1,C19orf12,GRSF1,AIG1
2256,RASD1,C19orf10,BRD2,POMGNT1,NRIP1,SYNE3,CORO1C,HSDL1
2257,CAMK2G,LAT2,C9orf85,LFNG,MRPL19,SOWAHD,ARF1,SSBP2
2258,TATDN1,MKL1,TMPO-AS1,ERCC8,BRD3,KPNA2,A1BG,STX8
2259,CCNDBP1,ABHD13,ENDOD1,AARSD1,SLC25A11,G2E3,XRN1,TIMM9
2260,TMEM167B,FBXL20,CCDC180,ALAS1,TBC1D25,TUFM,EMC1,PLAUR
2261,TCERG1,NSUN6,HNMT,RP11-385F7.1,IRF2BP2,CDK16,USP5,CHMP4B
2262,FAM84B,TOE1,VRK1,PIN4,SAYSD1,LARP4B,LANCL2,XXbac-BPG299F13.17
2263,RP11-544A12.8,ATP5D,DUS2,C17orf58,OARD1,EFTUD1,VPS13D,NDUFB6
2264,ZNF530,ARRDC4,GRSF1,SPAG9,MCM2,TIAM1,RLTPR,NUDT16
2265,TMEM107,MTHFSD,EGR1,PHB2,SAP18,MAGOHB,PLEKHB2,UFL1
2266,MTO1,USP8,AFTPH,ZMAT3,C9orf37,EXOSC9,FLVCR1,KDM7A
2267,CREBL2,SBF2,NADSYN1,PCTP,USP18,OARD1,CITED2,MIR24-2
2268,CASP6,EBPL,NDUFA12,ARMC1,STARD4,ZFYVE1,MYO19,MRPS5
2269,HNRNPL,DPP8,SLC2A6,ADRBK1,GTPBP10,FIBCD1,WAC-AS1,ING4
2270,PTPRN2,RRP8,PDXDC1,ZNF584,RSBN1L-AS1,CCDC117,SPA17,RNPC3
2271,ETAA1,HECTD4,TXNL4B,MESDC1,COL4A3BP,RP11-119B16.2,C10orf32,MAP3K8
2272,GTSF1,KDM1B,MRPS26,RGS16,EOGT,XRCC6BP1,LRRC8B,SLC39A4
2273,ZNF568,SLC12A6,HRK,SAFB2,ATAT1,MRPL45,ZNF581,SLCO3A1
2274,HMGN5,MYL5,RP1-197B17.3,SPG7,FAS,PDE8A,FRG1B,SAMD9L
2275,SEC31B,ATXN2L,GPN3,MEI1,NARFL,PRNP,NUDT18,PDZD11
2276,IL6R,CCDC137,C14orf2,PNRC2,IFI35,AKIRIN2,HMGXB4,KCNE3
2277,EFCAB11,TTC39B,GNPDA1,NUMBL,KATNBL1,TP53INP2,RSF1,EIF3J
