,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
2225,KIAA1109,UAP1L1,RFTN1,RP11-395G23.3,GTF2H5,AP003733.1,NFE2L2,SERINC3
2226,SLC25A46,PNP,ING3,CECR1,MRTO4,NUP153,RUVBL2,SLC39A4
2227,PIH1D1,SEC63,TMPO-AS1,ZSCAN18,FAM168A,ZRSR1,ECHDC2,USP21
2228,CAMK4,NBPF14,MYLPF,MFNG,IVD,CCNC,MOB3A,PCK2
2229,RP11-820I16.4,RFC1,ACD,UPF3A,UBE3A,ELAVL1,CHCHD5,GALM
2230,CLCN7,ZNF207,METTL20,HRSP12,URI1,IFIH1,TANGO2,KANSL1-AS1
2231,PRR14,AURKAIP1,VBP1,RP11-302B13.5,C6orf229,TMEM138,MSL3,SFT2D1
2232,FAAH2,WDYHV1,FKBP4,SHFM1,GPX4,BCOR,ARCN1,SMAP2
2233,BABAM1,THUMPD1,PHLPP2,FRAT1,WRAP53,BCAT2,SNRNP27,C9orf3
2234,DPEP2,MRPS18A,PLEKHJ1,LRRC8B,ACYP2,URI1,CEPT1,MEIS1
2235,RRP12,PIAS4,ZNF7,ASNSD1,NDUFAB1,BIN2,FAM177A1,SIDT1
2236,MCOLN1,BCL11A,AC013264.2,LCP2,MT-ND4L,PPP1R21,ATP6AP1,MSRB3
2237,ATF7IP2,PTBP2,UNC50,PPIL4,CYP27A1,PIF1,NME2,SLC30A5
2238,PLCD1,TMX2,CTD-2037K23.2,SNX30,ACD,ZFP69,RLTPR,TM6SF1
2239,MX1,ZNF493,PHF21A,WDR92,PROSER1,CASP10,TMEM159,EMC8
2240,AP2A1,GIMAP8,ZFAND1,COMMD2,ETS1,TEX10,VPS72,AC004069.2
2241,AC083843.2,CASP2,DCAF15,CPNE3,HMOX2,TBCA,CHTOP,CDR2
2242,USP53,LINC00998,PDPR,NPLOC4,R3HDM2,MTA2,RNF113A,HIST1H2AM
2243,SNTA1,SSBP1,TP73-AS1,CRYL1,SCO1,PRDM1,ANKRD17,IFI16
2244,YWHAQ,MRPS23,RP11-317N8.5,TPCN2,PHTF2,ZNF337-AS1,ASF1A,MARCH6
2245,ZNF701,C17orf80,KIAA0355,ADCY7,AZI2,RBBP8,LRRC8B,PDGFC
2246,TP53BP1,DLGAP4,LIMD1,SERTAD1,FEZ1,DEAF1,MRP63,NUB1
2247,GFOD2,CSTF1,PTTG1,ADA,IL18R1,NOL9,SSRP1,CPVL
2248,STAT5B,THUMPD3,CLK3,C1orf86,CCDC77,CCNT1,SSFA2,ACCS
2249,LONP1,YLPM1,FAM73B,NDUFAF5,HIRA,TATDN2,CEP170,AC145212.1
2250,SAP130,JMJD4,SLC25A45,FAH,TTC31,ADRBK2,MYO19,ABHD2
2251,GOLGA1,DDX49,NFKBIB,CUTC,POMT1,UQCC1,COX19,CDK2
2252,HPS5,EPB41,ARL6IP6,UBASH3A,MPST,TRAF5,ARL8B,PLEKHB2
2253,C20orf112,SNX1,DNAJC2,CCS,TMEM5,TCEAL8,MGAT4B,SLC9A1
2254,SLC36A4,HSD17B14,NPIPB11,HEBP2,XRRA1,CMTM2,CDK4,ACO1
2255,DYRK2,TRIM11,IARS2,RP11-138I1.4,MXD1,CLN8,FUS,STX7
2256,ARFIP2,MACF1,NAALADL1,TTC7A,PPAN,MKRN2,SIRPB1,AIG1
2257,FNIP2,TBC1D17,TAF15,SIRT7,KHSRP,ZNF839,C1orf54,SRSF2
2258,CDK10,CBWD6,LDB1,AGPAT4,TMEM216,ATF7IP,CIC,CDK2AP2
2259,USP48,RBM4B,WDR70,VPS11,ARMC8,ZNF783,RNF166,RASSF1
2260,TMA16,AMICA1,CA5B,CLU,ZNF12,GGA2,UPF3B,PLEKHJ1
2261,CCDC104,MED1,PRR5,SLMAP,UBA3,NOL8,HIVEP3,ZHX1-C8ORF76
2262,DYRK1A,PSMC3,NSUN4,TSHZ2,RBM5,COPS7B,NBPF12,EXOSC4
2263,PPP4R1,RNF10,TBCD,YIPF2,PLCL2,STEAP3,COMTD1,PSMG3
2264,C2orf42,NUDT3,CHD7,HMGN4,DMXL1,NDUFV1,N4BP3,ASRGL1
2265,DUS1L,MEF2BNB,MRPL54,C2CD2L,TSR3,SOGA1,PPIF,RAB30
2266,PCNXL2,GSTM2,UBE2W,NFKBIE,NDUFAF2,MRAS,SYAP1,GNL3L
2267,L3MBTL3,KIF13A,TREML2,IRF2BP1,MARCH9,ITPA,STX11,HLA-B
2268,ROMO1,NAA35,SETBP1,ZFP64,PRKRA,ECE1,RFXANK,NAGK
2269,RASD1,TMEM99,CTA-384D8.34,UNC119,PLCG2,DYNC1LI2,AMPD2,PRPSAP1
2270,DNMT3A,MPZL1,BRCC3,PDPK1,GTPBP10,RP11-277B15.3,TBCE,RAB7A
2271,KRI1,COX16,ZNF281,PLEKHA7,ST6GALNAC2,PAN3,FAM20C,CTB-55O6.12
2272,SBNO2,IRF4,OCIAD1,KRAS,IDI1,C7orf55-LUC7L2,POC1B,ARFGEF2
2273,SETD2,FAM168A,C6orf120,PDE5A,EBAG9,RP11-353N4.4,SAE1,TCP11L2
2274,MIER2,LGALS8,USP40,YEATS2,MVD,AC093818.1,TMEM214,ARMC5
2275,ZNF737,RFC2,VAMP5,ZNF527,RNF216,EFTUD1,DEK,RMND5A
2276,CCDC122,TANC2,ARID2,PDXK,RGL4,ZFAND6,ASCC3,SDHA
2277,TLR1,GFOD2,ADAM8,DARS2,SAP18,CBWD5,FAM32A,TMOD3
2278,PCIF1,SIK2,NUDT18,CLPTM1,PNRC2-1,NEK6,TEN1,NPLOC4
2279,RP11-23P13.6,MKL2,PUS3,STPG1,PDE6G,RAD51C,A1BG,FKBP2
2280,COPS4,ALDH6A1,REPIN1,NUDT18,CTC-524C5.2,NDST2,UBALD2,UQCRC2
2281,CENPC,TDP1,RP11-115C21.2,AGFG2,ASCC3,KMT2C,UBE2V2,FAM105A
2282,AC093673.5,ATPAF2,MPND,NUPL1,TARSL2,SLC10A3,RP11-140K17.3,HPGD
2283,NBPF10,PLK2,TBC1D24,PCCB,IFT80,AGPAT4,MYO1C,KLHL28
2284,ETAA1,CCR10,ZNF480,STAT4,AP1M1,RP11-427H3.3,SMCO4,BHLHE40
2285,S100A4,RBFA,STX12,PSMC1,ZMAT3,SYNE3,RP11-499P20.2,MTMR10
2286,RP11-798M19.6,ATXN2L,CDCA4,MPHOSPH9,GPBP1L1,NDRG1,FAM211A,SH3GL1
2287,DXO,ZNF563,SLC25A26,JMJD4,MCFD2,WDR74,BCL2L12,TSPAN14
2288,C22orf46,CHD1L,SUPT7L,SLC37A3,MAP3K5,ABHD16A,CD59,TBCK
2289,LMF2,TACC3,ZNF43,TIMM17B,TSPAN2,CCDC117,KIAA0907,ATF2
2290,ECI2,RNF144B,STAG3,DUSP7,ITPRIP,NUDT4,SH2B1,PLAGL2
2291,PIAS4,CDC37L1,ANKRD52,TAPT1-AS1,MTHFD2L,LINC00984,PBRM1,CREB1
2292,BLCAP,PGAM1,SSR2,PRPF3,C1GALT1C1,SEC22C,AK3,SAP18
2293,RP11-611E13.2,LINC00657,TBL3,NSD1,SP4,PCK2,RABGAP1L,MOAP1
2294,FBXO42,VARS,MIR4458HG,N4BP1,PLEKHG3,CHCHD2,TOMM34,PASK
2295,GPAT2,ZNF777,TLR1,LETM1,TM7SF3,NPL,UTY,TRRAP
2296,PAFAH1B2,CRYL1,ZNF296,DAZAP2,PHLPP1,PSMB7,WDR18,PRCC
2297,CYFIP1,EIF3J,HSPB11,RASSF1,GRIK4,CCM2,TBP,CEACAM3
2298,ZFP90,CREG1,AP001055.6,MYCBPAP,RP11-489E7.4,C19orf73,RNF115,ACOT13
2299,NGFRAP1,RAB3A,SMIM15,ENOPH1,NABP1,PKIB,TMEM208,KCNE3
2300,LINC01136,CENPP,NAA15,RAB39B,HIPK2,SPINT2,VIPR1,RARG
2301,ANKRD13C,RRP8,PLEKHM2,RLIM,SCD5,FUCA1,KRR1,RAB13
2302,CAMK2G,NDOR1,ZNF273,IGFBP3,MPHOSPH9,POLD3,GNB1L,AUP1
2303,FLOT2,NLRP12,PARP9,SERINC3,ZNF641,DBR1,S100A5,CASP8
2304,FMN1,AC073283.7,YKT6,RPS27L,AGK,TGFBR2,CLK4,SETD5-AS1
2305,COMMD8,ADAT2,NFKBID,UBE4B,CLPP,USE1,PRPSAP1,LSM14A
2306,FAAH,CNOT11,CDC16,DCK,POMGNT2,PRKCE,TTC24,ADRM1
2307,BNIP3,C11orf48,HNMT,MAFK,CANT1,ADAM10,FAM179B,JTB
2308,VPS4A,IRAK1,CCDC65,LZTR1,RP11-309G3.3,RCC2,UBE2L6,CD63
2309,MT-ND6,MAP3K6,PRKDC,EDC4,HIP1R,RP11-119B16.2,BRI3,RNF34
2310,LOH12CR1,CCNA2,TP53RK,MIB1,SIRT5,C19orf12,NRP2,NAE1
2311,TFEB,FBXO21,REV1,SPAST,C14orf119,PCMTD2,FIZ1,B4GALT1
2312,INPPL1,SMARCC1,FAM110A,SLC25A26,SEC24B,IQGAP2,MED14,FAR1
2313,PTPN18,ARRDC4,RFFL,ALG6,STX11,TRPC4AP,M6PR,ST7L
2314,SNURF,CCNL1,TRMT112,hsa-mir-8072,NUDT2,LMBR1L,MOB1B,RP11-1094M14.11
2315,DUSP18,WDR86,BZRAP1-AS1,AC016629.8,HELQ,RCN1,C7orf55-LUC7L2,MRPS24
2316,ARHGAP25,TCP11L2,ZNF418,AC006369.2,METRNL,RECK,OAZ2,CREM
2317,LINC00944,GLYCTK,CCDC127,C8orf33,FBXO22,AP3S2,HSPA13,CHTOP
2318,INTS1,TRPM4,CROCCP2,METTL1,PARN,PDXK,ATP6V1D,CENPP
2319,UBE2E3,CDK8,LIN7C,GTF3C6,PDCD4-AS1,CNP,TGDS,DNASE1L1
2320,ING5,WDR61,RP11-498P14.5,ERCC8,TIMM9,EEA1,ATL2,RP11-94L15.2
2321,RELB,HIST1H4C,USP27X,METTL3,ROMO1,PIGV,ACER3,ATL3
2322,TMEM39B,HIC2,ABHD5,JHDM1D-AS1,ADPRHL2,PDS5B,FAH,UBE2C
2323,ENDOV,TOR1A,CD70,C5AR1,APOBEC3G,SEC16A,AAGAB,STARD4
2324,PFAS,TMEM164,DIMT1,HSDL1,ALG11,POLR2M,ZNF74,WDR11-AS1
2325,TAF10,SMG6,ZNF41,ZC3H11A,ZNF330,INPP4B,NIT1,IL17RA
2326,TACC1,RP11-81H14.2,RALA,MOB3A,SLC35B4,AARSD1,USP38,CALD1
2327,ZNF780B,P2RY8,ANGEL2,ASAH2B,CSGALNACT2,ANAPC1,CPEB4,PAPOLA
2328,GPI,B4GALT4,TBC1D2B,AC004951.6,IPO11,KLHDC2,AD000090.2,KMT2D
2329,RIPK3,TCEANC2,RGS19,RAB6B,CREBZF,HNRNPL,CPED1,COPZ1
2330,SAYSD1,CES4A,ASCC1,NUMBL,PDGFB,FBXO28,PSMB7,CMTR1
2331,EMP3,RP11-463J10.3,CAB39L,RNASEH1,TP53TG1,ACOT2,SPRED1,TBC1D25
2332,PRIM2,RSL1D1,IMMP2L,CLCN6,STAT3,ATG4A,JOSD2,KLHL22
2333,CFDP1,XKR6,MARCH3,GMFB,TRIM52,ACAT2,CCDC59,AGPAT2
2334,PRUNE,ZYG11B,KCTD6,MYO6,FAHD2A,SCGB1C1,ARRB2,UNC119
2335,LRRC27,RAB35,GRSF1,LENG9,A1BG,SLC26A6,TRAPPC4,DCTD
2336,C5orf30,CTDSP1,TMEM223,IFT27,CHAC2,DCP1A,AIM1,NDUFV1
2337,ZNF791,RMND5B,IFRD2,BECN1,BAG5,NCOA2,MYO9A,SIGLEC10
2338,FLVCR1-AS1,KIAA0232,UBA1,RP11-94L15.2,TUBGCP2,VPS25,RPP38,BUD31
2339,TRIM21,TMEM127,FXR1,MSRB1,ACAT1,GFM1,MAN1B1,MEG3
2340,CREBL2,RP11-83A24.2,ZBTB24,CD28,SLC30A1,HMGN3-AS1,RNF187,TBC1D13
2341,LIG1,DPYSL2,DNM3,TMED4,ATOX1,RP11-455F5.5,GTSF1,CDS2
2342,MCM3,EFCAB2,OARD1,AKT3,B3GAT1,SIN3A,SLC22A18,TMEM14C
2343,C11orf31,HSD11B1L,CCDC93,PRR24,PARP4,HEATR3,HNRNPU,EMC4
2344,RAF1,OPA1,NUDT14,NKRF,MEMO1,NEK4,MDM2,EBLN2
2345,TBCK,PGM1,GNPDA1,HIST1H2BD,DDX1,BCL2L13,TXNDC5,LASP1
2346,APIP,ALKBH2,SERP1,GSTK1,SCAF4,U2AF2,SEZ6L,PNKD
2347,MED19,MRPS14,C21orf49,MPG,LRRCC1,CCDC41,GLTP,GPR65
2348,RNF135,FAM192A,PARP2,ATG16L1,SMU1,CDC42SE1,ZRANB2,NCSTN
2349,DAPK2,DPYD,LRRK2,TMEM245,SMYD2,DFFA,CD4,LILRA6
2350,WDR61,GPR141,DDX60,PARN,ANAPC5,MAN2A1,TAF1C,CETP
2351,ERCC3,TXNDC11,KIF22,PLD2,PEX14,TMX3,IL18BP,RBBP7
2352,RAB5B,TLR5,WASF2,MAP6D1,POLR2M,WDR83,SEC23B,ARRDC1
2353,RP11-127B20.3,RP11-1299A16.3,SCARB2,PTPRA,SPATA20,RNF4,RBM26,C18orf8
2354,NT5E,EIF2AK2,TMPRSS11E,DDX49,EPS8L1,HAPLN3,PPP3R1,OSER1-AS1
2355,DPH7,CTD-3088G3.8,AC012358.8,N6AMT2,PUS7L,ZNF575,KIAA0226,ECH1
2356,EXOSC1,IL1RAP,PATL1,FECH,RSBN1,B9D2,MED10,ITGAL
2357,SLC9B2,EXOC4,ATG4C,CARS2,KBTBD7,NOTCH2,HMGXB4,CANT1
2358,CLEC16A,ABAT,SNAI3-AS1,YAF2,CCDC43,B3GALT6,WDR20,COX17
2359,FAM98B,ANKDD1A,KHDRBS1,SLAMF7,C15orf40,CACUL1,TSR1,PARVG
2360,ZNF148,RERE,TANGO6,JADE1,FKBP4,GABARAPL1,NPIPB11,NOMO1
2361,PTPLAD2,AC131097.3,FAM86A,RPPH1,GOLGA3,ARSA,FANCF,G6PD
2362,C19orf55,TMBIM4-1,SPOP,ING3,POLR2J3,TRIM21,PRDX6,RNF2
2363,TOMM70A,TOE1,PCCB,CHGB,HOMEZ,RHOG,ATF6B,MIF4GD
2364,SPTBN1,VASH1,ESF1,DNAJC19,FXR1,ZZZ3,TUT1,LYRM4
2365,DYNLL2,CPQ,NDUFA7-1,SLC25A53,SRFBP1,CDK16,NSRP1,FN3KRP
2366,PARK7,PKP4,WBP1L,ZNF500,PTPN12,NEDD1,B9D2,C7orf55-LUC7L2
2367,DDX60,XXbac-BPG299F13.17,ZDHHC1,MIOS,STAP1,FYN,ABI1,FBRS
2368,SLC6A6,TMEM184B,TRA2B,CXorf24,FAM102B,RALGAPB,ELAC1,RCOR3
2369,RHOH,MFF,TMEM41A,CIPC,SETD3,C9orf72,C19orf25,ORMDL3
2370,MIAT,KIF16B,HLA-DOA,EFR3A,DNASE1,ALG3,GANAB,ATP5J
2371,PPP1R16A,SRF,ENOPH1,SCNM1,WDR55,SLC35A5,GIPC1,MAP1LC3B2
2372,GDI1,ANG,CCDC174,CAMKK2,MTMR10,SYNE1,CCDC112,SDR39U1
2373,COPZ1,DENND4B,MIER3,SBK1,AMPD3,PSEN1,MAT2A,NAP1L4
2374,BEX5,HIST2H2AC,ZNF701,SMAD3,COPS7B,KB-1507C5.4,TTC1,C8orf76
2375,CACNA1C-AS2,RABEP2,EGR1,ELK3,MMP23B,WDR45,SLMAP,ATP13A1
2376,MRPL46,SETD2,C1orf131,ZSCAN32,SCAND1,FAM114A2,ZBTB41,USP20
2377,YLPM1,CDADC1,MTIF2,TP53RK,RAB11B-AS1,CTC1,GNB4,STX4
2378,MYO9B,NAA30,ANKRD17,RPL26L1,MKKS,CLCN5,KIAA1143,CEACAM21
2379,DCP1B,ATG4D,RINL,ZNF266,PIK3AP1,MRPS28,CHD7,ACYP2
2380,ZBTB41,GGCX,DYNC1LI1,INIP,MVP,SDCCAG8,NTPCR,CD36
2381,MCTP2,FLAD1,ATP1A3,COX5A,LAT,FAM199X,TBC1D7,CHURC1
2382,ATG4C,BECN1,RBL1,AP000692.10,BACH2,ADAM17,ZNF331,ATP6V1D
2383,PODXL2,CA13,PLCE1,RNF217,FAM134C,DOCK11,AC010883.5,PIGC
2384,GABPA,PDE4A,PLOD3,TRIQK,POLD4,SYTL3,FAM174A,EML3
2385,FAR1,SNHG7,POLR1D,PTPLB,NEDD1,ASB6,DENND1A,XRN2
2386,PHIP,TSC22D2,C12orf76,PDE12,ZNF775,TTC14,CSTF2T,TBCC
2387,CCDC167,PLEKHA8,EIF5,TARSL2,CACYBP,ATXN3,CRIP3,TTC7A
2388,C11orf30,ACER3,SLC7A7,CHCHD6,CPSF4,MFAP1,IFT27,ANKRD13A
2389,NIT1,DNMBP,PHKA2,SLC2A1,SH3BP1,RP11-611L7.1,SF3B4,CCND2
2390,MZF1,U2SURP,SSR3,TBC1D9B,KRTCAP3,RP11-403I13.8,CNOT1,DTYMK
2391,ERCC6L2,RFESD,FARS2,XXcos-LUCA11.4,TRIP11,MCCC2,RAB7A,SUCLG2
2392,CLEC17A,BAG4,DHX30,NUTM2A-AS1,EIF4EBP2,JTB,POLR2A,IFI27L2
2393,UBA1,AKNA,PDZD11,CDK5RAP1,METTL23,SOWAHD,HSF1,STK3
2394,NAPA,LINC00909,LPP,NDUFS4,ZNF317,SRPR,PIN4,HS1BP3
2395,COX7B,SLC12A6,LYPLA2,NUP85,ATP6V1H,MPHOSPH8,LINC00528,ENSA
2396,GAK,RBM12,GCAT,MVK,ARV1,CDC73,NUP214,TCTA
2397,RAB14,IQSEC2,MEF2A,CDR2,UBA1,LARP4B,SRPRB,GUCY1A3
2398,ERF,DGKA,NADSYN1,ZBP1,BLCAP,WDFY1,PDE6D,CDC5L
2399,CUTA,DOCK2,TRAPPC4,NSUN4,TRIM33,CHRAC1,PHF11,FIS1
2400,ITPK1,COQ10B,PPP5C,ABI2,SERPINB9,ZNF280D,ACN9,MEF2C
2401,NEDD1,NMNAT3,DALRD3,PEBP1,SCO2,ZNF12,ACSS2,IQGAP1
2402,LRRC58,DDX60,TRIM23,FAM58A,RSF1,TMEM63A,BAX,RNF216
2403,UTP14A,PPOX,G2E3,CD70,RFXAP,MFSD2B,ZNF251,TOB1
2404,TXNDC9,NIF3L1,DESI1,PIFO,ABCA2,PSMD13,KB-431C1.4,GSTP1
2405,SH2B1,EVA1B,SETD2,TRMT2B,EOGT,FGFBP2,PIP5K1C,SOS1
2406,TTPAL,RARRES3,FASTKD2,POLR2J,MZT1,RP11-849F2.7,COMMD7,ETS2
2407,FAM160A2,TFRC,GSPT1,AC131056.3,SPDYA,CHN1,LRRC41,PTPN2
2408,ABL1,COX18,STRADB,C17orf58,NDUFAF3,RP11-820I16.4,ZNF395,SEP15
2409,OTUD6B,TIGD1,MRPS30,KIAA1841,CCNL1,CAMSAP2,ATG4D,ITGAX
2410,TUBB4B,TFEC,ALG12,SPCS3,EBNA1BP2,ZNF614,COQ3,PEX16
2411,CD84,MBIP,DTX3L,RAP2C,CUL1,SIK3,TIAL1,AP1M1
2412,SLC27A3,GRWD1,AAR2,FAM174A,TGFBR2,ENG,PROCR,RICTOR
2413,NR2F6,PCNX,SLC2A1,ZNF410,GIGYF2,TOMM34,KLF8,VAPB
2414,DDI2,FAM219A,ANKRD32,DIS3L,PRKAR2A,C10orf76,RP9,ARRDC3
2415,TMEM116,CCDC57,FAM120AOS,POM121,DNASE1L1,PRKCA,ADCK2,LCMT1
2416,NUP214,CPT1A,RRP8,C15orf41,AP5M1,TNFSF13,ATG4B,GSAP
2417,TNRC6B,FAM91A1,VAPB,MAN1A1,TIMP1,PRIM2,UTP15,LYPLA1
2418,TYSND1,hsa-mir-1199,CDK10,DMKN,ZNF268,HSD17B7,XRN1,CEBPA
2419,NFATC2IP,USF2,RWDD2A,SUSD4,AKR1A1,ITGA3,HPS5,C3orf38
2420,CMTR1,SLC16A3,CEP70,VAMP4,CCDC97,MFSD7,PLEKHB2,CLEC4A
2421,ZHX2,PPP1R3F,SELK,RP11-152N13.5,SIAH2,GPATCH2L,CCDC25,TMUB1
2422,ZFAND1,FBXL20,COQ2,ADARB1,IFT122,MFSD5,CD1E,SCYL2
2423,HIP1R,RNF170,PRKAG2-AS1,SCPEP1,TTC27,EXOSC9,EXOSC5,MATR3
2424,SPERT,FBRSL1,CUX1,CEP250,GINM1,BAZ1B,TMEM150A,TRA2A
2425,NFYC,GNAI1,FANCE,PRKAR2A,MTHFR,ERICH1,DBN1,UCHL5
2426,SS18L2,SCAMP2,FAM126A,ZNF287,KIAA0247,ERLIN2,TNNT1,MTG1
2427,F12,SRP54,CIAO1,FAM169A,TYMS,RGS14,MAP2K2,C19orf66
2428,CDC5L,ILF2,CCT2,ABHD17B,EPHX2,UBALD1,KATNA1,JARID2
2429,MLLT3,EMC6,NFAT5,STAU2,LDB1,BRCC3,LINC00324,RPIA
2430,HNRNPU-AS1,RP11-727F15.9,ARMC7,DRG2,ARFRP1,GOSR2,SIRPA,BCCIP
2431,HDAC5,NDUFA13,CIB1,GRINA,FAM46A,ANKRD44,RBM23,PILRA
2432,TBL1X,POMK,PRDM2,WDR13,DCAF13,CHIC1,TMEM106A,HSD17B12
2433,DKC1,UTP20,FAM199X,NDUFAF7,OAS2,DCAF8,FLOT2,AZI2
2434,C16orf80,LAT2,FAM185A,FUCA2,ANAPC7,SESTD1,PTK2B,USP14
2435,TMEM168,PPP3CA,RDH5,HDAC8,ATP6V0B,MXD1,C6orf47,URM1
2436,FAM168A,MPI,LRRC8D,ACADSB,YWHAG,ARMCX4,FAM122A,C6orf136
2437,FAM84B,GSE1,MAP2K7,AP000442.1,UBE2R2,PDS5A,EIF1AX,IFNGR2
2438,SLC11A2,MDM4,FAM19A1,RTF1,PIK3R5,RNASEH2B,UTP18,HDAC10
2439,PSME4,C12orf4,CCDC66,FHL3,PEX16,AKAP17A,ZNF419,PMF1
2440,SDR42E1,FLJ27365,FIGNL1,NUBP1,IL10RB,ADCK4,ROGDI,WDR26
2441,AMBRA1,TMEM185A,DTX2,TMEM187,ZMIZ1,APOM,ST3GAL6,GTF2F1
2442,INO80B,DHX57,FIP1L1,GSTZ1,GPAA1,RP11-5C23.1,OGDH,PPP2R5A
2443,TIMM8A,TBRG4,ATF7IP,ZNF180,TBCA,ANGEL1,SMARCC1,FAM127B
2444,UBLCP1,TAF4,MFN1,GS1-251I9.4,TBC1D25,MRPS35,NUP98,PKN1
2445,YY1,NFAM1,TRMT61B,CNRIP1,SUPT20H,TMEM189,MBOAT7,MYO5A
2446,RGL2,ERGIC1,NDUFA12,MGAT5,MAFF,RIPK3,AGO3,JAK1
2447,MAPK8,SSNA1,KBTBD3,KHK,PAM,PHF12,NSL1,AKTIP
2448,TRMT5,DNAJC14,PLIN3,SRPK2,SCCPDH,CROCCP2,FOSL2,POLR2C
2449,NIPSNAP1,MARCKS,AP4M1,GIPC1,MR1,HSPA4,HLX,GNG2
2450,BCL9L,RAB7A,IFNGR1,MAPKAPK2,CCDC65,UBE2R2,RP11-85F14.5,SERPINB9
2451,TRMT112,CLPX,PIK3CG,ORMDL2,GBP4,IRF8,COA6,RP11-220I1.1
2452,TGFBR3,DCUN1D5,LARP4,CACNA2D4,KDM4C,PAQR3,CMC1,MYO1C
2453,SH2D3C,HSCB,CLP1,C9orf64,GNPTG,VPS13A,UPF1,ORC4
2454,NME6,AC011899.9,ITGA5,CTD-2256P15.2,REPS1,TRIP4,ADAR,MGRN1
2455,TRMT12,MRPL34,DMXL1,RPUSD1,R3HDM4,CD300E,TMEM167A,ZNF615
2456,CTD-2037K23.2,FNBP1,CELF1,NCAPD2,ZNF692,MAP2K2,CDR2,ARRDC2
2457,RP11-489E7.4,NOB1,ERO1L,RNF144A,SWT1,IMPAD1,SLC35F5,TP53RK
2458,UHRF2,TAMM41,IFI16,JOSD1,HPS3,RARS,SLC2A8,PGLS
2459,IKBKAP,HECTD4,EIF2AK3,SLC35F2,ACTR1A,FAM86A,RXRB,PSMD8
2460,MIS18A,TESC,TMEM261,QTRTD1,CFP,NAP1L4,SESN1,MRPS11
2461,FAM63A,GLMN,USP36,INO80,TMEM60,SIPA1L3,RUSC1,CDC16
2462,HTT,ASAP2,BASP1,ENTPD4,CNP,SCN1B,KAT2A,STX12
2463,HHLA3,ZNF280C,GABBR1,KIF19,KIR2DL3,AURKAIP1,LIN52,PIM1
2464,CDC14B,TMEM87B,UBXN2B,NCAPH,PPP1CB,RNF38,GAPVD1,C4orf48
2465,WARS2,EIF4E,PATL2,STAT2,KIF1B,QTRTD1,PASK,STK24
2466,CCR6,VPS53,RAB31,BCL6,GRAMD1A,MED6,ACAD8,RP11-51J9.5
2467,NUAK2,FAM126A,DENND6B,ME1,RP11-10L12.4,PRKX,SMAD5,CCDC88C
2468,C10orf88,CAMTA2,ZXDA,POLK,ZNF677,JAZF1,ASL,LILRB1
2469,KYNU,MRPS34,FDX1,CTD-3138B18.5,ACTL6A,HINT3,ACAP2,COA5
2470,LTBP3,SS18L2,RP11-876N24.4,RAD18,LEF1,CREB1,ATPAF2,MAP2K1
2471,CMC4,CD4,PDXDC1,PFDN2,CHFR,AP000769.1,DGKZ,MTMR14
2472,IL6R,ZBTB44,LINC01013,ARHGEF6,TMEM102,LRRC7,SP2,FOPNL
2473,CERS5,MIS18A,CCDC117,FAHD2B,C19orf68,CETP,THOC3,CAND1
2474,RBFA,KIAA1467,SEC11C,ZBTB2,SIGLEC7,PRR14L,GNB2,EMC7
2475,AMDHD2,CCNF,RP1-3J17.3,ACTR3B,ZMAT1,C17orf75,ID3,NMD3
2476,MLH3,ULK3,CHMP2A,PDE6B,FNDC3B,FAM45A,MGST1,EHD1
2477,TOPORS,SBF1,CYB561D1,YBX3,EPS15,FUT7,TNFRSF4,TMC6
2478,RANBP2,CTB-133G6.1,SIRT6,GTF2F1,NSUN5,ITPKB,FAM76A,KPNA4
2479,FBXO22,C17orf75,C11orf24,CPD,RPP14,ATAD3A,KLHL6,PPP2R4
2480,EFHD2,NDUFAF4,AC074289.1,KBTBD4,EEF1G,ATP5L2,MYLPF,DCPS
2481,FUOM,HDAC10,SMC2,GBA2,PPM1M,TATDN1,DAXX,ANKRD28
2482,PPP6R2,NOL10,AC016629.8,ABHD2,MB21D1,NIT1,NTAN1,CCT6A
2483,LIN37,STUB1,RMDN3,POLR3F,TRIM65,TTC16,UBE2E2,LPCAT1
2484,TNFAIP1,SATB1,SF3B2,ATP6V0A1,METTL7A,BEX2,POFUT1,ACOT8
2485,RP11-950C14.3,MIS18BP1,MAP3K1,GSK3B,TRIM26,TRMT5,MTF1,ARAP1
2486,SLFN13,EBNA1BP2,YPEL1,AGAP2,SNAP23,USP47,TMEM86A,CDC6
2487,AURKC,UBAP1,AMN1,BIRC5,IRF3,C3orf58,MVB12A,MCM10
2488,CDAN1,RANBP10,TCF12,HDAC7,ELP2,RAB1A,PMS1,HMGN2
2489,SMG9,INPP5K,PGP,H1FX,PLK4,MLLT11,TFG,FOXM1
2490,ZNF571,BRD3,ZXDC,TYW5,HUWE1,C12orf75,AK5,UCHL1
2491,C6orf57,ZNF641,IL2RA,DENND3,AC074138.3,TIMM50,PPCDC,PKMYT1
2492,DGCR2,USP28,TRRAP,C10orf35,JAZF1,DCUN1D4,CXCL2,ESCO2
2493,AC025171.1,MAP3K13,CDKAL1,ANTXR2,CYBB,BRD8,MRPL39,GPR61
2494,GRIPAP1,UPF3A,CENPK,METAP2,PIKFYVE,TASP1,RCC2,AC015971.2
